Persian,Latin
LVDVYG,ludwig
LVGAN,logan
LVKNY,lockney
LVKNZ,lukens
LVMKS,lomas lomes
LVMZ,lodz lomas lome lomes lunz lutz
LVN,lon
LVNARDV,lonardo
LVRSYNSAP,lursinsap
LVRTYH,lorteye
LVRY,lory
LVSKMB,luscombe
LVSKYV,luskin
LVSR,loser
LVV,lvov
LVY,levy livy
LVYJY,lavery lavey levey lively
LVYY,lavey levey
LVYYS,loyds lucys
LVYZ,levys
LYBAV,levavy
LYBLANK,leblanc liblanc
LYBRANDH,librande
LYBRMN,lebrun liberman
LYBRTVN,libberton
LYKYNG,laking
LYLARD,lillard
LYLJA,lilja
LYMARY,limary
LYMN,lymn
LYNDLY,lindley
LYNFYLD,linfield
LYNYMVN,linimon
LYPVLT,lippolt
LYR,lyra
LYRAKS,meraks
LYRY,leary leroy lory lyra
LYS,les lis
LYSR,lycra
LYST,list
LYSYN,lesion lisken lison
LYTLJAN,littlejohn
LYV,levi levy livy
LYVN,lyon
LYVNBRGR,leonberger
LYVNL,leonel lionel lyons
LYVPARD,leopard
'LYYAH,aliyyah
LYZR,lazar lycra
MAD,mady maud mead med mod
MAGAN,meagan megan
MAKZYMM,massimo
MALRYX,malorys malraux
MALVNY,malone maloney
MALVY,malay malloy malory
MALYN,malan malayan malian malini mallin melen
MAMVT,mamet mamott
MANGANV,mangano
MANK,manx monk munk
MANKMN,monkman
MANTL,mantle
MANTVN,minton monton
MARASKV,marasco
MARK,mark
MARKV,markov
MARKVS,markus
MARS,mars
MART,marat marta marti marty mort
MARVD,marva
MARVVD,maraud marwood
MARY,mary
MARYK,marek
MARYN,marin
MARYTJY,marytje
MAS,mac maes mais maos mase mass maxs mays mias mos
MASAKY,masaaki
MASAN,masin mason maysan
MASASY,masashi
MASV,marv masao mase mason mass mast masud masuo
MATLYNJ,matlinge
MATYSN,matheson mathisen matson mattson
MAVNG,maung
MAYAL,mayall
MAYANK,mayank
MAYKL,makil
MAYKSL,mayall
MAYR,mayr
MBSRY,mistry
MD,md
MDY,mady
MDYA,medea media
MDYNH,madinah
MFVRD,mefford
MGLAN,meglan
MHLA,mahala
MHRKNZ,mehrkens
MHVVALD,mahowald
MKDVGALD,mcdougald
MKGYBVN,macgibbon
MKKALA,mccalla
MKKVL,makil mccoll mikko
MKL,mkel
MKLARN,mclaren
MKLRNAN,mclernan
MKMVLYN,mcmullen mcmullin
MKY,macky macy maki micky mike
MKYNTAS,mcintosh
MKYNYNC,mcininch
ML,mel
MLCRS,melchers
MLHART,melhart
MLTN,maltin melton milton multan
MLTZR,meltzer
MLVN,melvin
MLVR,malur
MN,mn
MNSYG,mansig
MRK,mark merk
MRKN,morken murken
MRLYNV,merlino
MRTALV,mertalo
MRYL,morel
MS'VD,maqsood massoud masud
MTA,mata
MTS,mats
MTSVN,matson
MTYVS,matyas
MTZLR,metzler
MVASAN,moisan
MVKR,moaker moor muir
MVLARV,mularo
MVLTVN,melton milton moulton multan
MVNDANARV,mondanaro
MVNTYRV,montero
MVNY,many money monty
MVNYS,montys
MVRBAY,murray
MVRGAN,morgan
MVRNV,morano moreno
MVRT,mort
MVRTAYR,mortier
MVRYS,marys mores
MYDVZ,medusa mendez mendoza midas
MYGLYARDY,migliardi
MYHAN,meahan meehan mohan
MYJR,myer
MYKA,mika
MYKALYN,mikulin
MYKV,maiko mika mike mikko mikus
MYKY,micky mike
MYLAN,milan
MYLBRJR,milberger
MYLMVD,malamud malemud milmoe
MYLY,mili
MYLYNGTN,millington
MYMY,mime mimi
MYNNARD,minyard
MYNZ,mins
MYSL,myst
MYSLSVN,michelson mickelson
MYSTVN,mayston
MYTCL,mitchel
NADLR,nadler
NAKAV,nakao
NAPN,napton
NARNDRA,narendra
NARYS,marys
NATR,nate nats
NAVAL,nawal
NAVRT,nawrot
NAVYN,naveen
NAVYR,nauer
NAY,nagy
NAYBRG,nyberg
NAYJL,nabil
NAYTZ,nowitz
NAYVLS,naipauls
NSTLR,nestler nistler
NSTRMAN,nesterman
NSYR,nasir
NVA,neva nova
NVKALA,nukala
NVLS,nils noels nolas
NVLV,nola nolf
NVRKVYYST,northeast northwest
NVRMN,norman
NVRT,nordt north
NVRTVN,norton
NVRTVY,northway norton
NVRYNSN,nevrincean
NVT,nat newt note notz nuth nutt
NVVNG,nuong
NVYNZ,noyens
NVYTZ,nowitz
NYDR,nider
NYGRV,negro nigro
NYGVMA,niguma
NYK,nik
NYKV,niko
NYKVLA,nicola nikolai nikolay
NYLSVN,nelson
NYLVR,naylor
NYMAN,nyman
NYNAVA,ninawa
NYP,nye
NYR,nair nayar near neri nero nery
NYRD,nirad
NYSBT,nisbet
NYSTLR,nestler nistler
NYVFNG,neufang
NYVKMBH,newcombe
NYVT,newt
NYYVYL,nevile
PAJAN,pagan
PAJVNN,pajunen
PALMV,palmo
PALV,palo
PALYN,paulin polen
PANG,pang
PANZLT,punzelt
PARAK,parakh
PARKR,parker
PARKYN,parkyn
PARLV,pavlov pearls perls
PARSLY,parsley
PARYS,paris
PARYSY,parisi
PATAKY,pataky
PATN,patna
PATNYK,putnick
PATYNGTVN,partington
PATYS,pates pattys
PAVL,pavol
PAVTLR,pautler
PAYL,paul peel peil
PAYNZ,paynes
PAYP,papp
PAYRS,paars piers
PAYVLLA,padilla patella
PAYVLV,pavlov
PDN,peden
PDYSYNY,pedicini
PJRK,park
PK,pak
PKMN,peckman
PLANSKY,plonski polanski
PLATCK,planck
PLATKYN,plotkin
PLATV,plato
PLDJR,pledger
PLFRY,flory
PLR,flor
PLYN,pliny polen
PLYSK,pliske
PLYZNTZ,pleasants
PMBRTVN,pemberton
PMBRY,pemberry
PNGLY,pengelly
PNKRTVN,pinkerton
PNR,penner
PNYNGTVN,penington
PRAKTVR,proctor
PRANG,prong
PRAS,pres
PRATS,prates pratts
PRAVYL,pravil
PRAYAGA,prayaga
PRCYS,parsis pierces
PRGR,prager
PRHN,prehn
PRM,perm pram prem
PRNL,parnell purnell
PRNTYK,prentice
PRS,pres
PRSLY,parsley presley pursley
PRVSYK,prusik
PRY,pery pruy
PRYCT,priest
PRYGLR,pregler
PRYJYN,prejean
PRYMAK,premack
PRYS,pres
PRYSKV,prisco
PRYSS,press
PRYTYS,prates pritish
PRYVR,pryor
PT,pt
PTLAK,petlock
PTRYNV,petrino
PTY,pate pati patty pete petty
PVHA,puha
PVLAK,pavlik
PVLYN,polen
PVNTVN,punton
PVPY,pope
PVRAT,porrat
PVRT,port
PVRTYLV,portillo
PVRTZ,portz
PVYNTVN,paynton pointon
PYASNTYNY,piacentini
PYDMVNT,piedmont
PYGMN,pygmy
PYJ,peg
PYKANV,picano
PYKAP,pickap
PYKARD,picard pickard
PYKK,peck
PYKLNR,pikelner
PYKT,pict
PYLHAFR,pilhofer
PYLYC,pyles
PYNCBK,pinchbeck
PYNGL,pingel
PYNKRT,pinkert
PYNSLY,hensley tinsley
PYNTV,pinto
PYPRBRG,pepperberg
PYRYRA,pereira
PYTRMN,peterman petren
PYTRSVN,peterson
PYVS,pius
RABA,raba
RABRTSVN,robertson
RABRTZ,roberts
RABS,robs
RABY,raby
RADLY,rudley
RADYV,radev
RAGAZ,ragas
RAGNHYD,ragnhild
RAGTAN,rastin
RAJA,raja
RAJF,raja raju ralf
RAJNDRA,rajendra
RAJRZ,rajas
RAKS,raes ricks rooks
RAKVL,rasul
RAKYTA,rakita
RAMANY,ramani romany
RAMDAS,ramdas
RAMPL,rumple
RAMSY,ramsay ramsey
RAMVN,ramon
RAMYAZ,ramiaz
RAMYRZ,ramirez
RANDAL,randal
RANDL,randal
RANTA,ranta
RANV,ranu
RANY,rane rony
RAS,ras
RASBSN,rusbasan
RASV,raso rasu
RATANVL,ratanvel
RATRAY,rattray
RATSABY,ratsaby
RAVYNG,roving
RAYDR,rayer
RAYLVY,railway
RAYVDAN,ramadan
RAYZMN,ryzman
RDHYL,redhill
RDMAND,redmond
RGR,regor roger
RHAN,rehan rohan
RJYNALD,reginald
RNJ,ring rns
RNKYN,rankin ronkin
RP,rep
RPNYNG,repenning
RSLYNGAM,rasalingam
RVBL,robel
RVBYLARD,robillard
RVC,roch rock rus
RVD,rod
RVDZ,rods
RVHLDR,rohleder
RVHR,ruhr
RVKSANA,rosanna
RVL,ravel
RVLND,roland
RVLYN,roslyn
RVLYNZ,roslyns
RVLYSVN,rolison
RVMF,roff
RVML,ravel rumble rumple
RVMYR,ramer roemer romero
RVS,rus
RVSANVA,rosanova
RVSKVLYN,roscolyn
RVSL,ravel
RVSLA,rosella roslin
RVSYN,roslyn
RVT,robt
RVTMN,rutman
RVYDN,royden
RVZARYV,rosario
RVZLYN,roslyn
RVZNHYM,rosenheim
RVZNTAL,rosenthal
RYA,rya
RYBVLD,rabold raybould rybolt
RYBYKY,rybicki
RYBYRV,ribeiro
RYCBVRG,richbourg
RYCMVND,richmond
RYD,red
RYDA,reda rida
RYGZ,rego riga riggs rigo roegs
RYHRD,ryherd
RYK,rex rick
RYMK,rimek
RYN,ryan
RYNDRS,rynders
RYNGNALDA,ringenalda
RYNY,rene rony
RYPABLYK,republic
RYS,res roys
RYTL,rittle
RYTR,reiter reuter ritter rueter ryder
RYVAS,revas rivas
RYVLV,revelo revlon
RYVRA,rivera
RYVST,rivest
RYVTR,river
RYVY,reavy
RYVYN,rivin
RYVYR,river
RYYSN,riessen
RZMYSL,ramesh rymill
RZPLA,rzepela
SABHASYS,subhasish
SADV,sade sadow sadr
SAK,saki saks
SAKR,sakr
SAKV,saki sakr saks
SALAC,salas
SALAZAR,salazar
SALRMA,salerma
SALSTH,salste
SALTR,salter
SALTZ,shultz
SALV,salo
SAM,sam
SAMRAL,sumrall
SAMRFLD,sommerfeld
SAMRV,samara samars samira somero
SAMYTA,sumita
SAMYTRV,sumitro
SAN,san
SANDARA,sundara
SANR,sanner
SANSYNG,sansing
SANTANA,santana
SANTYNY,santini
SARF,sharf
SARKYS,sarkies
SARL,sharl
SARV,sharov
SASKYN,sushkin
SASTK,sustik
SASYA,sasha
SATL,sats
SATY,cathy katy sats state
SAVAD,sawad
SAYMVN,siemon
SBNK,sunk
SBSTA,sebesta
SBY,sbs sibyl sky sly
SGYZ,soyuz suez
SJADY,sagady
SKAR,skari
SKND,sand
SKRAY,stray
SKVNYNGLK,sculingleke
SKY,sky
SKYNH,skene
SKYRA,sayre skari
SL,sal sly sol
SLAYDYN,saladin
S'LH,salo sela sell shiloh shulah soli solo
SLKVK,selcuk
SLNY,slaney slone
SLVMYT,shlomit
SLYNA,selena selina
SLYTH,blyth
SLZ,sols
SMLYV,somlyo
SMYR,samir semir simer
SNDL,snel
SNDRA,sandra sondra
SNGMANY,sengmany
SNKYN,sunken
SNT,saint santa santo
SPNYK,supnik
SPYR,spear speer spero spiro spur
SRJYV,sarajevo
SRL,serel sharl
SRYNG,shoring siering
STYA,stead stian styx
SV,sb siva sup suva
SVARTZ,swartz
SVBK,sobek
SVBYRAN,soubyran
SVDRZ,sadrs sudra sudras
SVGYNV,sugiono
SVH,suh
SVLDANY,soldani
SVMANY,somani
SVMHRA,sumehra
SVMP,swamp
SVNJY,sanjay sonja sonny sunny
SVNKVY,shunkui
SVNYA,sonya
SVPYK,supik
SVR,sor
SVRANY,sorani
SVRN,severn
SVRTZ,shurtz swartz
SVRYN,soren sorin
SVSARLA,susarla
SVSARY,susarrey
SVSAYTY,society
SVSKYND,suskind
SVSTK,sustik
SVYT,soft soviet spit swift
SVYY,savoy
SVZAN,susan
SYA,sea
SYBLD,seibold
SYBR,sabra sabre sebree sieber
SYDZ,seds sids
SYGAL,segal
SYKR,sakr sekar
SYKVRSKY,sikorsky
SYL,zyl
SYLVSTR,sylvester
SYLVY,silvey sylvia sylvie
SYLY,seely
SYLYAKS,sylvias
SYMKV,simko
SYMN,syme
SYMPSVN,simpson
SYMV,simo syme
SYMVM,simoom
SYMVNSVN,simonson
SYMVNTS,seamounts simonds simones
SYMVR,semir seymour simer
SYMVS,simons
SYNA,sena sina
SYNMVRYTS,sinemorets
SYNYD,sinead
SYPLDA,schipleda
SYPRT,seyfert
SYR,sir
SYSYRA,sisira
SYTAV,sitao
SYTRAN,shetron
SYTVN,seton
SYV,siva
SYVFRT,seuffert seyfert
SYVR,seaver sevier siever spur
TAFH,taft
TAFVR,tafur
TAKASAKY,takasaki
TALR,taylor
TAMBRYNV,tamburino
TAMLYNSVN,tomlinson
TAMPSN,thompson
TAMS,tamas tamis tims toms tums
TAMV,tame tami tomo
TANAKA,tanaka
TANG,tang
TARALDSN,taraldsen
TARPH,tharpe
TARPLYN,tarplin
TATSV,tatsuo
TAVSN,tahsin
TAYJ,taegu teig
TAYN,taine tien twain
TAYR,tarr thayer
TAYTANV,taitano
TKNVLVJYZ,technologies
TNAZA,tenaza
TNR,tener tonar toner tynor
TRAKSL,troxel
TRAVLTA,travolta
TRNC,trans trench
TRNYNGN,terningen
TRVJAN,trojan
TRVLSN,truelsen
TRY,tory trey tri troy
TRYGR,trigger
TRYN,toren tran trina trinh tron turin
TRYNN,trina trinh
TRYR,trier
TRYV,trio
TSA,tasha tessa tisha tisza tosca tuso
TSKY,teskey
TSLAK,tesluk
TTSVTV,tetsuto
TVAN,twan
TVFYLY,toufaily
TVMARS,tomares
TVMBR,tumber
TVNJY,tonjes
TVNY,tony
TVR,tor
TVRBV,turbo
TVRT,evert
TVV,tow two
TYD,ted
TYG,tyng
TYLMAN,talman tillman tolman
TYLMNS,tillmans
TYMVTY,timothy
TYNV,tino tyng tynor
TYNVN,teynton
TYTKMB,titcomb
TYTZ,titz
TYVBALD,theobald
TYVN,tyson
TYVVYS,teddys tethys teunis timmys tyrees
VAKY,vicky
VALFVRD,walford
VALH,vale vall
VALKYLA,valkila
VALND,walend
VALNR,valur
VALS,vals
VALSR,walser
VALT,walt
VANDNHVF,vandenhoff
VANKVRTLND,vancortlandt
VANSYL,vancil
VARDL,vardi
VARN,vern
VATLZ,atlas patels vitale wattles
VATRVS,watrous
VATSN,watsen watson
VAVN,vaun
VAYB,vaya
VAYDNR,weidner
VAYLANKVRT,vaillancourt
VAYTLY,vestli
VAYTSL,vestal wietse
VBR,ober
VDL,vidal
VGA,vega
VGNVN,wagnon
VHYBH,wahibah
VKT,voket
VKYNZ,viking vikings voikins
VLARDYNJN,vlaardingen
VLBR,alber welber wilber wilbur
VMBL,womble
VNDRSPYGL,vanderspeigle
VNDYVRT,vandivort
VNJLDR,vangelder
VRDH,vardi verde verdi
VRFYN,arpin whorfin
VRHAT,orhan
VRKS,works
VRVR,verwer
VSL,oslo
VSLR,vecsler
VSPVYNT,westpoint
VSTKAT,venkat
VTRVAKS,strouss watrous
VVDAL,vidal
VVDZ,vaduz
VVLCK,volcker
VVN,von
VVRHYZ,voorhies
VY,va vaya vee
VYBL,sybil veblen vibe
VYBRG,nyberg wiberg
VYDA,veda vida
VYGL,vogl
VYGV,vigo
VYGVM,wigum
VYKSL,vakil vicksell
VYLANZ,dylans
VYLKAKSVN,wilkerson wilkinson
VYLMYN,velden veldman willemyn
VYLSN,wilson
VYLTVN,wilton
VYLV,volvo
VYLYZ,velez
VYNAD,vinod
VYNK,vinko vonk
VYNMA,venema
VYNMYLR,vermeer
VYRMN,verma viren
VYSAL,vishal
VYSBK,wesak
VYSN,vishnu vision vizen
VYSY,veasey vessey vichy vici vicky visa vish
VYTAGN,withagen
VYTAKRH,whitacre
VYTK,vitek
VYTL,vitale
VYTRZ,pyotrs
VYTY,vito vitt
VYVG,viva
VYVRLYNG,weaverling
VYZDAM,wisdom
VZLYVS,vilyuis
YAMN,yumn
YAN,yan
YANGZ,yangi yongs
YANYK,yanzek
YASMYN,yasmine
YASR,yasar yaser
YAST,yost
YAT,yat
YATMN,yeatman
YLLV,yalu yellow
'YSY,ayse
YVSAMA,kasama usamah
ZAKL,zaki
ZAKVB,jacob yacob zukor
ZAPANTYS,zapantis
ZAX,zaki
ZAYAK,zayac
ZFYRH,zafirah
ZHRA,zahra
ZHYR,zahir
ZHYRA,zahara zahirah zahra zaira
ZND,zand
ZVLA,zola
ZVYRYNK,zoerink
ZYM,zaim
ZYML,zemel
ZYMR,zimmer
ZYSV,zest
ZYTSR,zitser
ZYVNZ,zions
'ZYZ,aziz
'ZYZAN,azizan
